animal_id,outcome_time,date_of_birth,outcome_gender,outcome_age,animal_stay,intake_time,found_location,intake_type,intake_condition,animal_type,intake_gender,intake_age,breed,color,stay_duration,spay_neuter,repeat
A006100,2014-03-08,2007-07-09,Neutered Male,72.0,A006100-1,2014-03-07,8700 Research in Austin (TX),Public Assist,Normal,Dog,Neutered Male,72.0,Spinone Italiano Mix,Yellow/White,1,0,1
A006100,2014-12-20,2007-07-09,Neutered Male,84.0,A006100-2,2014-12-19,8700 Research Blvd in Austin (TX),Public Assist,Normal,Dog,Neutered Male,84.0,Spinone Italiano Mix,Yellow/White,1,0,1
A006100,2017-12-07,2007-07-09,Neutered Male,120.0,A006100-3,2017-12-07,Colony Creek And Hunters Trace in Austin (TX),Stray,Normal,Dog,Neutered Male,120.0,Spinone Italiano Mix,Yellow/White,0,0,1
A287017,2014-12-12,2001-05-13,Spayed Female,156.0,A287017-1,2014-12-12,Lazy Oaks /Westgate William Cannon in Austin (TX),Stray,Aged,Dog,Spayed Female,156.0,Chihuahua Shorthair Mix,Black/White,0,0,1
A287017,2015-08-16,2001-05-13,Spayed Female,168.0,A287017-2,2015-08-16,6620 Deatonhill Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,168.0,Chihuahua Shorthair Mix,Black/White,0,0,1
A307010,2016-09-28,2003-03-04,Neutered Male,156.0,A307010-1,2016-09-25,Freidrich Lane And St Elmo Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,156.0,Beagle Mix,Tricolor,3,0,1
A307010,2017-06-05,2003-03-04,Neutered Male,168.0,A307010-2,2017-06-01,806 Castle Ridge in Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,168.0,Beagle Mix,Tricolor,4,0,1
A318574,2015-07-31,2003-04-19,Neutered Male,144.0,A318574-1,2015-06-13,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,144.0,Domestic Shorthair,Brown Tabby,48,0,1
A318574,2016-05-23,2003-04-19,Neutered Male,156.0,A318574-2,2016-04-27,4412 Brandt Rd in Austin (TX),Stray,Normal,Cat,Neutered Male,156.0,Domestic Shorthair,Brown Tabby,26,0,1
A329502,2015-07-20,1999-01-12,Neutered Male,192.0,A329502-1,2015-07-19,7205 Tumbleweed in Austin (TX),Stray,Normal,Dog,Neutered Male,192.0,Chihuahua Shorthair,Brown,1,0,1
A345209,2014-11-27,2004-02-18,Spayed Female,120.0,A345209-1,2014-11-26,4106 N Lamar Blvd in Austin (TX),Stray,Normal,Dog,Spayed Female,120.0,Labrador Retriever Mix,Tan,1,0,1
A347684,2015-03-29,2001-05-23,Spayed Female,156.0,A347684-1,2014-07-26,Stassney And Gobi in Austin (TX),Stray,Normal,Dog,Spayed Female,156.0,Chihuahua Shorthair,Black/Red,246,0,1
A362383,2016-03-22,2004-01-11,Neutered Male,144.0,A362383-1,2016-03-11,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,144.0,Parson Russell Terrier Mix,Brown/White,11,0,1
A362383,2016-04-21,2004-01-11,Neutered Male,144.0,A362383-2,2016-04-21,Hwy 360 /Barton Plaza in Austin (TX),Stray,Normal,Dog,Neutered Male,144.0,Parson Russell Terrier Mix,Brown/White,0,0,1
A363653,2014-03-23,2003-11-28,Neutered Male,120.0,A363653-1,2014-03-23,Kay Street in Austin (TX),Stray,Normal,Dog,Neutered Male,120.0,Catahoula/Labrador Retriever,Blue Merle/White,0,0,1
A378348,2014-01-19,2004-08-07,Neutered Male,108.0,A378348-1,2013-12-12,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,108.0,German Shepherd Mix,Black/Brown,38,1,1
A378348,2014-04-23,2004-08-07,Neutered Male,108.0,A378348-2,2014-01-25,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,108.0,German Shepherd Mix,Black/Brown,88,0,1
A381217,2017-06-09,2004-03-05,Neutered Male,156.0,A381217-1,2017-06-04,2005 Willow Creek in Austin (TX),Stray,Normal,Dog,Neutered Male,156.0,Miniature Poodle/Cairn Terrier,White/Cream,5,0,1
A381217,2017-07-17,2004-03-05,Neutered Male,156.0,A381217-2,2017-07-08,East Oltorf Street And Parker Lane in Austin (TX),Stray,Sick,Dog,Neutered Male,156.0,Miniature Poodle/Cairn Terrier,White/Cream,9,0,1
A390222,2013-12-08,2004-05-23,Spayed Female,108.0,A390222-1,2013-12-04,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,108.0,Jack Russell Terrier,White/Tan,4,0,1
A390222,2013-12-15,2004-05-23,Spayed Female,108.0,A390222-2,2013-12-08,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,108.0,Jack Russell Terrier,White/Tan,7,0,1
A413789,2016-04-19,2005-09-03,Spayed Female,120.0,A413789-1,2016-04-19,5106 Village Square in Austin (TX),Stray,Normal,Dog,Spayed Female,120.0,Pomeranian Mix,Black/Brown,0,0,1
A413789,2019-10-27,2005-09-03,Spayed Female,168.0,A413789-2,2019-10-25,Stassney And Nuckols Crossing in Austin (TX),Stray,Normal,Dog,Spayed Female,168.0,Pomeranian Mix,Black/Brown,2,0,1
A415823,2015-08-17,2002-12-30,Neutered Male,144.0,A415823-1,2015-08-16,9202 Kempler in Austin (TX),Stray,Normal,Dog,Neutered Male,144.0,Pit Bull Mix,Tan,1,0,1
A415823,2015-10-26,2002-12-30,Neutered Male,144.0,A415823-2,2015-10-26,9200 Queenswood Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,144.0,Pit Bull Mix,Tan,0,0,1
A416147,2018-10-03,2005-11-03,Neutered Male,144.0,A416147-1,2018-09-29,5107 West Parmer Lane in Austin (TX),Stray,Normal,Dog,Neutered Male,144.0,Labrador Retriever Mix,Black/White,4,0,1
A416147,2018-10-06,2005-11-03,Neutered Male,144.0,A416147-2,2018-10-05,12034 Research Boulevard in Austin (TX),Stray,Sick,Dog,Neutered Male,144.0,Labrador Retriever Mix,Black/White,1,0,1
A416147,2019-06-04,2005-11-03,Neutered Male,156.0,A416147-3,2019-06-01,6001 West Parmer in Austin (TX),Stray,Normal,Dog,Neutered Male,156.0,Labrador Retriever Mix,Black/White,3,0,1
A416147,2019-12-26,2005-11-03,Neutered Male,168.0,A416147-4,2019-12-22,Fm 734 And Mcneil Road in Austin (TX),Stray,Normal,Dog,Neutered Male,168.0,Labrador Retriever Mix,Black/White,4,0,1
A424158,2015-01-08,2005-03-28,Neutered Male,108.0,A424158-1,2015-01-05,Crossing Place /Riverside Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,108.0,Chihuahua Shorthair Mix,Tan/White,3,0,1
A424158,2016-05-02,2005-03-28,Neutered Male,132.0,A424158-2,2016-05-02,Crossing Place And Riverside in Austin (TX),Stray,Normal,Dog,Neutered Male,132.0,Chihuahua Shorthair Mix,Tan/White,0,0,1
A430709,2017-12-30,2004-09-26,Neutered Male,156.0,A430709-1,2017-03-02,Teri Rd And Nuckols Crossing Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,144.0,Pit Bull/Labrador Retriever,Black/White,303,0,1
A430709,2018-05-02,2004-09-26,Neutered Male,156.0,A430709-2,2017-12-26,Austin (TX),Stray,Injured,Dog,Neutered Male,156.0,Pit Bull/Labrador Retriever,Black/White,127,0,1
A433111,2013-11-04,2001-06-04,Intact Female,144.0,A433111-1,2013-10-20,Ohlen And Whitman Cv in Austin (TX),Stray,Normal,Dog,Intact Female,144.0,Queensland Heeler Mix,White/Brown,15,0,1
A438287,2018-01-13,2004-01-10,Spayed Female,168.0,A438287-1,2018-01-08,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,168.0,Chihuahua Shorthair Mix,Tan,5,0,1
A443085,2014-07-21,2006-04-05,Neutered Male,96.0,A443085-1,2014-03-19,S. Congress & Industrial in Austin (TX),Stray,Normal,Dog,Intact Male,84.0,Labrador Retriever/Chinese Sharpei,Black,124,1,1
A443085,2014-08-06,2006-04-05,Neutered Male,96.0,A443085-2,2014-08-01,Outside Jurisdiction,Owner Surrender,Normal,Dog,Neutered Male,96.0,Labrador Retriever/Chinese Sharpei,Black,5,0,1
A451534,2019-07-19,2006-08-31,Neutered Male,144.0,A451534-1,2019-07-03,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,144.0,Ragdoll Mix,Seal Point,16,0,1
A453083,2014-07-05,2005-11-13,Spayed Female,96.0,A453083-1,2014-07-05,S Lamar in Austin (TX),Stray,Normal,Dog,Spayed Female,96.0,Border Collie Mix,Chocolate/White,0,0,1
A453083,2016-01-12,2005-11-13,Spayed Female,120.0,A453083-2,2015-05-21,South Lamar /Blue Bonnet in Austin (TX),Stray,Aged,Dog,Spayed Female,108.0,Border Collie Mix,Chocolate/White,236,0,1
A453102,2016-11-22,2006-07-14,Spayed Female,120.0,A453102-1,2016-11-17,Springdale Rd & E 51St St in Austin (TX),Stray,Normal,Dog,Spayed Female,120.0,Border Collie/Labrador Retriever,Tricolor,5,0,1
A454044,2019-11-18,2006-07-01,Spayed Female,156.0,A454044-1,2019-11-18,Cinnamon Path in Austin (TX),Stray,Normal,Dog,Spayed Female,156.0,American Staffordshire Terrier Mix,Chocolate/White,0,0,1
A454044,2019-11-21,2006-07-01,Spayed Female,156.0,A454044-2,2019-11-21,1608 Waterloo Trail in Austin (TX),Stray,Sick,Dog,Spayed Female,156.0,American Staffordshire Terrier Mix,Chocolate/White,0,0,1
A454384,2016-09-01,2003-02-28,Neutered Male,156.0,A454384-1,2016-09-01,2115 Holly St in Austin (TX),Stray,Normal,Dog,Neutered Male,156.0,German Shepherd Mix,Black/White,0,0,1
A454384,2016-11-09,2003-02-28,Neutered Male,156.0,A454384-2,2016-11-09,E Cesar Chavez St & Robert in Austin (TX),Stray,Normal,Dog,Neutered Male,156.0,German Shepherd Mix,Black/White,0,0,1
A457858,2014-03-05,2006-01-08,Spayed Female,96.0,A457858-1,2014-03-04,8511 Burnet Rd in Austin (TX),Stray,Normal,Dog,Spayed Female,96.0,Beagle Mix,Buff/Yellow,1,0,1
A459766,2014-03-17,2006-03-14,Spayed Female,96.0,A459766-1,2014-03-13,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,96.0,Beagle/German Shepherd,Brown/Black,4,0,1
A459766,2014-09-21,2006-03-14,Spayed Female,96.0,A459766-2,2014-09-20,11511 Angus Rd in Austin (TX),Stray,Normal,Dog,Spayed Female,96.0,Beagle/German Shepherd,Brown/Black,1,0,1
A460458,2016-02-23,2007-04-12,Neutered Male,96.0,A460458-1,2016-02-12,1941 Gaston Place Dr #334 in Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,96.0,Chihuahua Shorthair Mix,Chocolate/White,11,0,1
A462580,2014-12-06,2004-10-01,Neutered Male,120.0,A462580-1,2014-12-04,8401 Kimble Cv in Austin (TX),Stray,Normal,Dog,Neutered Male,120.0,Pit Bull,Brown Brindle/White,2,0,1
A462580,2015-01-02,2004-10-01,Neutered Male,120.0,A462580-2,2014-12-17,N Lamar & Longsour in Austin (TX),Public Assist,Normal,Dog,Neutered Male,120.0,Pit Bull,Brown Brindle/White,16,0,1
A462580,2015-08-21,2004-10-01,Neutered Male,120.0,A462580-3,2015-07-20,1200 E 52Nd St in Austin (TX),Public Assist,Normal,Dog,Neutered Male,120.0,Pit Bull,Brown Brindle/White,32,0,1
A462580,2015-10-02,2004-10-01,Neutered Male,132.0,A462580-4,2015-08-20,300 Croslin St in Austin (TX),Public Assist,Normal,Dog,Neutered Male,120.0,Pit Bull,Brown Brindle/White,43,0,1
A463685,2021-08-03,2006-11-05,Neutered Male,168.0,A463685-1,2021-07-31,2308 Perry Avenue in Austin (TX),Stray,Normal,Dog,Neutered Male,168.0,Labrador Retriever/Rottweiler,Black/Brown Brindle,3,0,1
A464421,2021-05-06,2007-01-19,Spayed Female,168.0,A464421-1,2020-11-10,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,156.0,Siamese Mix,Lynx Point,177,0,1
A465849,2016-01-03,2003-01-03,Intact Female,156.0,A465849-1,2016-01-02,Suena Dr And Vasquez St in Austin (TX),Stray,Normal,Dog,Intact Female,156.0,Chihuahua Shorthair Mix,White/Brown,1,0,1
A468026,2013-12-22,2006-09-02,Spayed Female,84.0,A468026-1,2013-12-20,Manor (TX),Stray,Normal,Dog,Spayed Female,84.0,Pit Bull Mix,Black Brindle/White,2,0,1
A468181,2013-11-20,2005-10-17,Neutered Male,96.0,A468181-1,2013-11-13,3721 Hwy 620 in Austin (TX),Stray,Normal,Dog,Neutered Male,96.0,Boxer/Pit Bull,Tan/White,7,0,1
A474000,2017-08-12,2006-07-27,Neutered Male,132.0,A474000-1,2017-08-08,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,132.0,Domestic Longhair Mix,Brown Tabby,4,0,1
A474000,2017-12-29,2006-07-27,Neutered Male,132.0,A474000-2,2017-12-03,Outside Jurisdiction,Owner Surrender,Normal,Cat,Neutered Male,132.0,Domestic Longhair Mix,Brown Tabby,26,0,1
A474001,2017-08-12,2006-07-27,Spayed Female,132.0,A474001-1,2017-08-08,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,132.0,Domestic Longhair Mix,White,4,0,1
A474001,2017-12-29,2006-07-27,Spayed Female,132.0,A474001-2,2017-12-03,Outside Jurisdiction,Owner Surrender,Normal,Cat,Spayed Female,132.0,Domestic Longhair Mix,White,26,0,1
A474506,2018-11-17,2006-06-07,Spayed Female,144.0,A474506-1,2018-11-16,2210 S Fm 973 in Travis (TX),Stray,Normal,Dog,Spayed Female,144.0,Pit Bull/German Shepherd,Tan,1,0,1
A474506,2021-06-29,2006-06-07,Spayed Female,180.0,A474506-2,2021-03-10,2304 Elara Drive in Austin (TX),Stray,Normal,Dog,Spayed Female,168.0,Pit Bull/German Shepherd,Tan,111,0,1
A475812,2015-05-12,2006-03-17,Spayed Female,108.0,A475812-1,2015-05-08,Us-183 & Loyola Ln in Austin (TX),Stray,Normal,Dog,Spayed Female,108.0,Chihuahua Shorthair,Yellow,4,0,1
A475812,2018-09-11,2006-03-17,Spayed Female,144.0,A475812-2,2018-09-07,8312 Interstate 35 in Austin (TX),Stray,Normal,Dog,Spayed Female,144.0,Chihuahua Shorthair,Yellow,4,0,1
A475943,2013-12-26,2000-06-19,Spayed Female,156.0,A475943-1,2013-12-26,1607 Garden in Austin (TX),Stray,Normal,Dog,Spayed Female,156.0,Miniature Poodle,White,0,0,1
A475944,2013-12-08,2007-04-27,Spayed Female,72.0,A475944-1,2013-12-08,Montopolis Dr/E Riverside Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,72.0,Labrador Retriever Mix,Black/White,0,0,1
A475944,2014-06-08,2007-04-27,Spayed Female,84.0,A475944-2,2014-06-07,Riverside & Montopolis in Austin (TX),Stray,Normal,Dog,Spayed Female,84.0,Labrador Retriever Mix,Black/White,1,0,1
A476605,2014-09-28,2006-10-25,Neutered Male,84.0,A476605-1,2014-09-22,9715 Ochiltree Dr in Austin (TX),Stray,Normal,Dog,Intact Male,84.0,Pit Bull Mix,Black/White,6,1,1
A476605,2016-02-24,2006-10-25,Neutered Male,108.0,A476605-2,2016-02-23,1111 Crown Ridge in Austin (TX),Stray,Normal,Dog,Neutered Male,108.0,Pit Bull Mix,Black/White,1,0,1
A477759,2018-08-18,2004-08-18,Spayed Female,168.0,A477759-1,2018-08-17,4419 Quicksilver Drive in Austin (TX),Stray,Normal,Dog,Spayed Female,168.0,Labrador Retriever Mix,Brown,1,0,1
A477759,2018-10-27,2004-08-18,Spayed Female,168.0,A477759-2,2018-10-26,Ashely Way And Quicksilver Boulevard in Austin (TX),Stray,Normal,Dog,Spayed Female,168.0,Labrador Retriever Mix,Brown,1,0,1
A478560,2014-03-16,2007-01-14,Spayed Female,84.0,A478560-1,2014-03-09,Austin (TX),Public Assist,Normal,Dog,Spayed Female,84.0,Australian Cattle Dog Mix,Blue Tick/Brown,7,0,1
A478560,2016-05-07,2007-01-14,Spayed Female,108.0,A478560-2,2016-03-19,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,108.0,Australian Cattle Dog Mix,Blue Tick/Brown,49,0,1
A484080,2016-08-16,2005-08-27,Spayed Female,120.0,A484080-1,2016-08-04,7844 Burnet Rd in Austin (TX),Stray,Normal,Dog,Spayed Female,120.0,Labrador Retriever Mix,Gold,12,0,1
A484080,2016-11-29,2005-08-27,Spayed Female,132.0,A484080-2,2016-11-26,7200 W. Easy Wind Dr. # 1079 in Austin (TX),Public Assist,Normal,Dog,Spayed Female,132.0,Labrador Retriever Mix,Gold,3,0,1
A489405,2018-08-11,2004-10-12,Neutered Male,156.0,A489405-1,2018-06-08,709 St Elmo in Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,156.0,Domestic Longhair Mix,Orange Tabby/White,64,0,1
A489405,2019-03-16,2004-10-12,Neutered Male,168.0,A489405-2,2019-03-12,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,168.0,Domestic Longhair Mix,Orange Tabby/White,4,0,1
A491764,2014-09-13,2007-06-06,Spayed Female,84.0,A491764-1,2014-09-13,Springdale And Webberville in Austin (TX),Stray,Normal,Dog,Spayed Female,84.0,Miniature Schnauzer Mix,Black/Brown,0,0,1
A491814,2014-06-09,2006-11-07,Spayed Female,84.0,A491814-1,2014-01-16,5800 Teri Rd. in Austin (TX),Stray,Normal,Dog,Spayed Female,84.0,Rat Terrier,White/Tan,144,0,1
A493225,2016-02-29,2002-11-25,Neutered Male,156.0,A493225-1,2016-02-28,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,156.0,Chihuahua Shorthair Mix,White/Tan,1,0,1
A493225,2016-05-01,2002-11-25,Neutered Male,156.0,A493225-2,2016-04-29,11501 Century Oaks Terrace in Austin (TX),Stray,Normal,Dog,Neutered Male,156.0,Chihuahua Shorthair Mix,White/Tan,2,0,1
A494120,2016-07-31,2007-07-31,Neutered Male,108.0,A494120-1,2016-04-02,Walton Ln And Bolm Rd in Austin (TX),Stray,Normal,Dog,Intact Male,96.0,West Highland/Toy Fox Terrier,White,120,1,1
A495060,2016-07-24,2007-10-03,Spayed Female,96.0,A495060-1,2016-06-14,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,96.0,Border Collie Mix,White/Tricolor,40,0,1
A495060,2016-11-20,2007-10-03,Spayed Female,108.0,A495060-2,2016-09-06,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,96.0,Border Collie Mix,White/Tricolor,75,0,1
A498720,2016-07-29,2006-07-30,Spayed Female,120.0,A498720-1,2016-03-19,7244 Wardman Drive in Travis (TX),Stray,Normal,Dog,Spayed Female,108.0,Rat Terrier,Tricolor,132,0,1
A498720,2018-12-24,2006-07-30,Spayed Female,144.0,A498720-2,2018-12-12,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,144.0,Rat Terrier,Tricolor,12,0,1
A500002,2014-06-06,2007-06-16,Intact Male,72.0,A500002-1,2014-05-30,Travis (TX),Public Assist,Normal,Dog,Intact Male,72.0,Labrador Retriever/Boxer,Black/White,7,0,1
A501508,2018-08-08,2006-02-26,Spayed Female,144.0,A501508-1,2018-07-21,Wier Hills Road And Rialto Boulevard in Austin (TX),Stray,Normal,Dog,Spayed Female,144.0,Basset Hound/Beagle,Brown/White,18,0,1
A501508,2019-08-07,2006-02-26,Spayed Female,156.0,A501508-2,2018-08-10,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,144.0,Basset Hound/Beagle,Brown/White,362,0,1
A502862,2015-02-14,2007-12-28,Neutered Male,84.0,A502862-1,2015-02-04,Austin (TX),Public Assist,Normal,Dog,Neutered Male,84.0,Labrador Retriever/Golden Retriever,Brown,10,0,1
A502862,2015-12-11,2007-12-28,Neutered Male,84.0,A502862-2,2015-12-02,Austin (TX),Public Assist,Normal,Dog,Neutered Male,84.0,Labrador Retriever/Golden Retriever,Brown,9,0,1
A503580,2018-01-02,2006-03-22,Neutered Male,132.0,A503580-1,2017-12-31,Dittmar in Austin (TX),Stray,Normal,Dog,Neutered Male,132.0,German Shepherd/Rottweiler,Brown/Black,2,0,1
A503580,2018-05-06,2006-03-22,Neutered Male,144.0,A503580-2,2018-05-05,712 Patchway Lane in Austin (TX),Stray,Normal,Dog,Neutered Male,144.0,German Shepherd/Rottweiler,Brown/Black,1,0,1
A504009,2014-04-19,2007-03-19,Neutered Male,84.0,A504009-1,2014-04-16,8900 Shoalcreek Blvd in Austin (TX),Stray,Normal,Dog,Neutered Male,84.0,Labrador Retriever Mix,Black/White,3,0,1
A505566,2019-06-02,2001-04-04,Spayed Female,216.0,A505566-1,2019-05-30,1704 Nelms Dr in Austin (TX),Stray,Injured,Cat,Spayed Female,216.0,Domestic Longhair Mix,Blue,3,0,1
A505566,2019-11-06,2001-04-04,Spayed Female,216.0,A505566-2,2019-11-04,8117 Willet Trl in Austin (TX),Stray,Sick,Cat,Spayed Female,216.0,Domestic Longhair Mix,Blue,2,0,1
A506775,2016-02-13,2006-12-17,Spayed Female,108.0,A506775-1,2016-02-01,Austin (TX),Owner Surrender,Aged,Dog,Spayed Female,108.0,Boston Terrier,Black/White,12,0,1
A506854,2014-12-16,2007-12-22,Neutered Male,72.0,A506854-1,2014-12-10,12801 N Lexington St in Manor (TX),Stray,Normal,Dog,Neutered Male,72.0,Golden Retriever Mix,Gold,6,0,1
A506854,2017-02-25,2007-12-22,Neutered Male,108.0,A506854-2,2016-04-22,1400 Pringle Cir in Austin (TX),Stray,Normal,Dog,Neutered Male,96.0,Golden Retriever Mix,Gold,309,0,1
A508053,2017-03-14,2005-05-01,Spayed Female,132.0,A508053-1,2017-03-11,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,132.0,Cocker Spaniel,Tan/Buff,3,0,1
A508053,2017-03-25,2005-05-01,Spayed Female,132.0,A508053-2,2017-03-14,1156 W Cesar Chavez in Austin (TX),Public Assist,Normal,Dog,Spayed Female,132.0,Cocker Spaniel,Tan/Buff,11,0,1
A510247,2015-07-23,2008-03-14,Neutered Male,84.0,A510247-1,2015-07-23,Austin (TX),Stray,Normal,Dog,Neutered Male,84.0,Labrador Retriever Mix,Tan/White,0,0,1
A510247,2015-09-04,2008-03-14,Neutered Male,84.0,A510247-2,2015-09-04,2222/Mt Bonnell in Austin (TX),Stray,Normal,Dog,Neutered Male,84.0,Labrador Retriever Mix,Tan/White,0,0,1
A510803,2016-09-26,2004-12-10,Spayed Female,132.0,A510803-1,2016-09-25,S 1St St  W St Elmo Rd in Austin (TX),Stray,Normal,Dog,Spayed Female,132.0,Parson Russell Terrier Mix,Black/White,1,0,1
A514009,2018-10-13,2007-09-17,Neutered Male,132.0,A514009-1,2017-10-16,3001 Harris Park Avenue in Austin (TX),Stray,Normal,Dog,Neutered Male,120.0,Chihuahua Shorthair Mix,Buff/Tan,362,0,1
A515757,2013-11-11,2004-07-20,Neutered Male,108.0,A515757-1,2013-11-10,St Elmo/S 1St St in Austin (TX),Stray,Normal,Dog,Neutered Male,108.0,Labrador Retriever,Black,1,0,1
A515757,2014-01-27,2004-07-20,Neutered Male,108.0,A515757-2,2014-01-26,South Congress And E Stassney Ln in Austin (TX),Stray,Normal,Dog,Neutered Male,108.0,Labrador Retriever,Black,1,0,1
A516244,2018-12-15,2008-04-29,Neutered Male,120.0,A516244-1,2018-11-07,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,120.0,Domestic Shorthair Mix,Orange Tabby/White,38,0,1
A516244,2019-01-08,2008-04-29,Neutered Male,120.0,A516244-2,2018-12-22,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,120.0,Domestic Shorthair Mix,Orange Tabby/White,17,0,1
A516577,2015-12-29,2006-01-19,Neutered Male,108.0,A516577-1,2015-11-17,2409 Mantague Dr in Austin (TX),Stray,Injured,Dog,Neutered Male,108.0,Chihuahua Shorthair Mix,Black/Tricolor,42,0,1
A516577,2016-02-13,2006-01-19,Neutered Male,120.0,A516577-2,2016-02-11,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,120.0,Chihuahua Shorthair Mix,Black/Tricolor,2,0,1
A517675,2015-08-29,2004-07-29,Spayed Female,132.0,A517675-1,2015-08-05,6902 Deep Cir #A in Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,132.0,Australian Cattle Dog,White/Black,24,0,1
A517675,2015-09-05,2004-07-29,Spayed Female,132.0,A517675-2,2015-09-03,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,132.0,Australian Cattle Dog,White/Black,2,0,1
A517675,2015-09-20,2004-07-29,Spayed Female,132.0,A517675-3,2015-09-07,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,132.0,Australian Cattle Dog,White/Black,13,0,1
A520786,2018-03-21,2008-04-07,Spayed Female,108.0,A520786-1,2018-02-25,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,108.0,Domestic Shorthair Mix,Black,24,0,1
A520786,2021-11-13,2008-04-07,Spayed Female,156.0,A520786-2,2021-11-10,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,156.0,Domestic Shorthair Mix,Black,3,0,1
A524092,2017-01-19,2008-05-05,Spayed Female,96.0,A524092-1,2016-12-25,9510 Carson Creek in Austin (TX),Stray,Normal,Dog,Spayed Female,96.0,Pit Bull,Chocolate/White,25,0,1
A524092,2017-02-05,2008-05-05,Spayed Female,96.0,A524092-2,2017-01-18,9601 Carson Creek Blvd in Austin (TX),Stray,Normal,Dog,Spayed Female,96.0,Pit Bull,Chocolate/White,18,0,1
A524092,2017-12-09,2008-05-05,Spayed Female,108.0,A524092-3,2017-02-04,Del Valle (TX),Stray,Normal,Dog,Spayed Female,96.0,Pit Bull,Chocolate/White,308,0,1
A524545,2019-06-12,2008-04-16,Neutered Male,132.0,A524545-1,2019-05-28,7909 Topana Ln in Austin (TX),Stray,Normal,Dog,Neutered Male,132.0,Pit Bull Mix,Chocolate/White,15,0,1
A525511,2018-01-20,2007-05-01,Neutered Male,120.0,A525511-1,2018-01-20,1010 Linden Street in Austin (TX),Stray,Normal,Dog,Neutered Male,120.0,Golden Retriever,Gold,0,0,1
A527094,2014-01-03,2007-11-01,Neutered Male,72.0,A527094-1,2013-12-30,Boothill Dr in Austin (TX),Stray,Normal,Cat,Neutered Male,72.0,Domestic Shorthair Mix,Black,4,0,1
A527094,2018-08-11,2007-11-01,Neutered Male,120.0,A527094-2,2018-08-11,9209 Northgate in Austin (TX),Stray,Normal,Cat,Neutered Male,120.0,Domestic Shorthair Mix,Black,0,0,1
A528040,2017-08-11,1997-11-11,Spayed Female,228.0,A528040-1,2017-08-11,Putnam Drive in Austin (TX),Stray,Normal,Dog,Spayed Female,228.0,Miniature Schnauzer Mix,Gray/Black,0,0,1
A528477,2013-10-30,2008-03-17,Neutered Male,60.0,A528477-1,2013-10-27,S 1St St in Austin (TX),Stray,Normal,Dog,Neutered Male,60.0,English Foxhound Mix,Tricolor,3,0,1
A528524,2014-09-11,2008-03-18,Neutered Male,72.0,A528524-1,2014-09-07,183 & Manor Road in Austin (TX),Stray,Normal,Dog,Neutered Male,72.0,Beagle Mix,Red/White,4,0,1
A528524,2016-03-05,2008-03-18,Neutered Male,84.0,A528524-2,2016-03-05,Austin (TX),Stray,Injured,Dog,Neutered Male,84.0,Beagle Mix,Red/White,0,0,1
A529310,2015-05-10,2006-11-25,Spayed Female,96.0,A529310-1,2015-05-06,903 W Village Ln in Austin (TX),Stray,Normal,Dog,Intact Female,96.0,Vizsla,Red,4,1,1
A529310,2015-11-04,2006-11-25,Spayed Female,96.0,A529310-2,2015-11-02,9616 N Lamar Blvd in Austin (TX),Stray,Normal,Dog,Spayed Female,96.0,Vizsla,Red,2,0,1
A531278,2015-09-11,2008-04-19,Intact Male,84.0,A531278-1,2015-09-11,14700 Earl Grey Ln in Travis (TX),Stray,Normal,Dog,Intact Male,84.0,Pit Bull,Gray/White,0,0,1
