animal_id,outcome_time,date_of_birth,outcome_gender,outcome_age,animal_stay,intake_time,found_location,intake_type,intake_condition,animal_type,intake_gender,intake_age,breed,color,stay_duration,spay_neuter,repeat
A739882,2016-12-13,2015-12-08,Neutered Male,12.0,A739882-1,2016-12-08,4700 Riverside in Austin (TX),Stray,Normal,Dog,Intact Male,12.0,German Shepherd Mix,Sable/Black,5,1,1
A739882,2017-01-12,2015-12-08,Neutered Male,12.0,A739882-2,2016-12-13,Austin (TX),Public Assist,Normal,Dog,Neutered Male,12.0,German Shepherd Mix,Sable/Black,30,0,1
A739893,2016-12-10,2011-01-02,Neutered Male,60.0,A739893-1,2016-12-08,Oak Springs And Airport in Austin (TX),Stray,Normal,Dog,Neutered Male,60.0,Australian Cattle Dog Mix,Tan/White,2,0,1
A739893,2017-02-02,2011-01-02,Neutered Male,72.0,A739893-2,2016-12-14,Oak Springs Dr And Airport Blvd in Austin (TX),Stray,Normal,Dog,Neutered Male,60.0,Australian Cattle Dog Mix,Tan/White,50,0,1
A739958,2016-12-12,2014-12-12,Intact Female,24.0,A739958-1,2016-12-09,9300 S Ih 35 Frontage Rd in Austin (TX),Stray,Normal,Dog,Intact Female,12.0,Catahoula Mix,Brown Brindle/White,3,0,1
A739958,2017-08-29,2014-12-12,Intact Female,24.0,A739958-2,2017-08-28,Slaughter And Interstate 35 Across From Home Depot in Austin (TX),Stray,Normal,Dog,Intact Female,24.0,Catahoula Mix,Brown Brindle/White,1,0,1
A739958,2018-10-24,2014-12-12,Intact Female,36.0,A739958-3,2018-10-22,10166 Old San Antonio Road in Austin (TX),Stray,Normal,Dog,Intact Female,36.0,Catahoula Mix,Brown Brindle/White,2,0,1
A739966,2017-01-11,2016-11-09,Neutered Male,2.0,A739966-1,2016-12-09,Pleasant Valley And Nuckols Crossing in Austin (TX),Stray,Normal,Cat,Intact Male,0.92,Siamese Mix,Seal Point,33,1,1
A739966,2017-02-10,2016-11-09,Neutered Male,3.0,A739966-2,2017-02-08,Pflugerville (TX),Owner Surrender,Normal,Cat,Neutered Male,2.0,Siamese Mix,Seal Point,2,0,1
A740022,2016-12-14,2015-07-10,Spayed Female,12.0,A740022-1,2016-12-10,4106 N Lamar Blvd in Austin (TX),Stray,Normal,Dog,Spayed Female,12.0,Maltese Mix,White,4,0,1
